score_fn,temp,bias,alpha,epsilon,coverage,set_size
lac_sigmoid,5.0,0.0,0.1,0.0,0.8987999999999999,1.18424
lac_softmax,0.5,0.0,0.1,0.0,0.9004199999999999,1.1815799999999999
lac_sigmoid,15.0,0.0,0.1,0.03,0.94978,1.7189599999999998
lac_sigmoid,15.0,0.0,0.1,0.03,0.94992,1.7221600000000001
lac_sigmoid,5.0,0.0,0.1,0.03,0.94978,1.71334
lac_sigmoid,5.0,0.0,0.1,0.03,0.94934,1.71494
lac_sigmoid,0.1,0.0,0.1,0.03,0.9512799999999999,1.71822
lac_sigmoid,0.1,0.0,0.1,0.03,1.0,10.0
lac_sigmoid,0.025,0.0,0.1,0.03,0.94992,1.7215400000000003
lac_sigmoid,0.025,0.0,0.1,0.03,1.0,10.0
lac_softmax,15.0,0.0,0.1,0.03,0.9836199999999999,5.07714
lac_softmax,15.0,0.0,0.1,0.03,0.99986,9.76092
lac_softmax,5.0,0.0,0.1,0.03,0.9829399999999999,4.74644
lac_softmax,5.0,0.0,0.1,0.03,0.9998000000000001,9.69686
lac_softmax,0.1,0.0,0.1,0.03,0.96098,2.4922799999999996
lac_softmax,0.1,0.0,0.1,0.03,1.0,10.0
lac_softmax,0.025,0.0,0.1,0.03,0.95604,2.3809200000000006
lac_softmax,0.025,0.0,0.1,0.03,1.0,10.0
lac_softmax,0.01,0.0,0.1,0.03,0.9587,2.4048999999999996
